Data;Arquivo;Caminho;Inativo;Riscos;Tamanho_MB
21/03/2026 21:52;CoreSyncInstall.log;C:\Program Files (x86)\Common Files\Adobe\Installers\CoreSyncInstall.log;NÃO;Credencial;0.155
21/03/2026 21:52;updater.log;C:\Program Files (x86)\Google\GoogleUpdater\updater.log;NÃO;Credencial;0.523
21/03/2026 21:52;AssemblyList_4_extended.xml;C:\Program Files (x86)\Microsoft.NET\RedistList\AssemblyList_4_extended.xml;NÃO;Token/Key;0.008
21/03/2026 21:52;AssemblyList_4_client.xml;C:\Program Files (x86)\Microsoft.NET\RedistList\AssemblyList_4_client.xml;NÃO;Token/Key;0.015
21/03/2026 21:52;WinFXList.xml;C:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\v3.0\WinFXList.xml;NÃO;Token/Key;0.002
21/03/2026 21:52;FrameworkList.xml;C:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\v3.0\RedistList\FrameworkList.xml;NÃO;Token/Key;0.005
21/03/2026 21:52;Client.xml;C:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\v3.0\SubsetList\Client.xml;NÃO;Token/Key;0.003
21/03/2026 21:52;FrameworkList.xml;C:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\v3.5\RedistList\FrameworkList.xml;NÃO;Token/Key;0.012
21/03/2026 21:52;Client.xml;C:\Program Files (x86)\Reference Assemblies\Microsoft\Framework\v3.5\SubsetList\Client.xml;NÃO;Token/Key;0.003
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\it\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.034
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\zh-hans\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.031
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\jp\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.037
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\de\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.035
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\es\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.034
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\en\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.032
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\fr\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.035
21/03/2026 21:53;Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;C:\Program Files (x86)\Windows Kits\10\References\10.0.19041.0\Windows.Security.ExchangeActiveSyncProvisioning.EasContract\1.0.0.0\ru\Windows.Security.ExchangeActiveSyncProvisioning.EasContract.xml;NÃO;Credencial;0.043
21/03/2026 21:53;install-log-admin.0.txt;C:\ProgramData\DockerDesktop\install-log-admin.0.txt;NÃO;Credencial;0.004
21/03/2026 21:53;install-log-admin.1.txt;C:\ProgramData\DockerDesktop\install-log-admin.1.txt;NÃO;Credencial;0.083
21/03/2026 21:53;TargetAppStdOut-2025.12.2-22.59.36-695257580889746153.log;C:\ProgramData\Epic\EpicOnlineServices\EpicOnlineServicesHost\Logs\TargetAppStdOut-2025.12.2-22.59.36-695257580889746153.log;NÃO;Credencial;0.007
21/03/2026 21:53;TargetAppStdOut-2025.12.2-22.59.38-4605293870385443690.log;C:\ProgramData\Epic\EpicOnlineServices\EpicOnlineServicesHost\Logs\TargetAppStdOut-2025.12.2-22.59.38-4605293870385443690.log;NÃO;Credencial;0.007
21/03/2026 21:53;TargetAppStdOut-2025.12.2-23.9.40-8379871300083029888.log;C:\ProgramData\Epic\EpicOnlineServices\EpicOnlineServicesHost\Logs\TargetAppStdOut-2025.12.2-23.9.40-8379871300083029888.log;NÃO;Credencial;0.007
